"","fragment.ID.full","Intercept","umol.L.sec","Temp.C"
"877","PA30_L_37_O2",129.79230456745,0.000171801541610072,36.7928882352941
"878","PA33_L_37_O2",128.533166854893,0.0100638868996173,37.0463529411765
"879","PA34_L_37_O2",150.324659600515,0.00724085709025879,37.0028352941176
"880","PA36_L_37_O2",125.634549024325,0.00344535314200364,36.9621529411765
"881","BLANK7_L_20_O2",214.574895044714,-0.000816827216162441,20.3985595238095
"882","BLANK8_L_20_O2",187.047749927936,-0.000918485380367309,20.3401904761905
"883","PA19_L_20_O2",205.32329163815,0.0279026715001831,20.392369047619
"884","PA20_L_20_O2",207.805390701683,0.0213348149006791,20.1902738095238
"885","PA23_L_20_O2",197.337213264055,0.0198767502787068,20.3788988095238
"886","PA25_L_20_O2",209.479580512784,0.0150746183499539,20.3317738095238
"887","PA29_L_20_O2",210.887482729374,0.0612300023586018,20.3699880952381
"888","PA31_L_20_O2",211.12911069485,0.0426407932971717,20.3157321428571
"889","PA32_L_20_O2",213.157548620551,0.0229118323802807,20.1934345238095
"890","PA35_L_20_O2",215.805132111892,0.0352496797018728,20.1837604790419
"891","BLANK7_L_24_O2",207.192902133401,-0.00127122792113989,24.3166432748538
"892","BLANK8_L_24_O2",180.746961827757,-0.00151569949021448,24.2882339181287
"893","PA19_L_24_O2",197.176971501486,0.0371788829661776,24.3590467836257
"894","PA20_L_24_O2",203.423538793766,0.0276342831568774,24.2303040935673
"895","PA23_L_24_O2",195.091557381048,0.0285172586935919,24.4359824561404
"896","PA25_L_24_O2",203.596685285873,0.0259285061315496,24.3814210526316
"897","PA29_L_24_O2",226.288397319378,0.0755909980370327,24.4236549707602
"898","PA31_L_24_O2",237.983374326371,0.0564524409143743,24.4247719298246
"899","PA32_L_24_O2",195.866498926068,0.0283452714326872,24.2923976608187
"900","PA35_L_24_O2",208.123857081938,0.0392109401386858,24.1532046783626
"901","BLANK7_L_28_O2",196.015129588505,-0.00187834746813654,28.2949176470588
"902","BLANK8_L_28_O2",170.275091422814,-0.00208704866244102,28.3114411764706
"903","PA19_L_28_O2",190.585867621347,0.0403945388826397,28.3529176470588
"904","PA20_L_28_O2",192.780247584956,0.0304804297553971,28.1070117647059
"905","PA23_L_28_O2",184.596287894014,0.0318326420546906,28.4315823529412
"906","PA25_L_28_O2",190.614900347186,0.0257465040803812,28.3650941176471
"907","PA29_L_28_O2",234.125792928657,0.0848247582860766,28.4496117647059
