,3.0.1.1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
7/4/19,11:53:42,10,default,88068563,OXY_CH10,11.968,min,102.579,μmol/L,Humid,25.817,deg,171643,µV,34.904,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289424.4,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:43,10,default,88068563,OXY_CH10,11.985,min,102.373,μmol/L,Humid,25.839,deg,171772,µV,34.91,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289411.81,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:44,10,default,88068563,OXY_CH10,12.003,min,102.241,μmol/L,Humid,25.855,deg,171909,µV,34.91,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289414.53,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:45,10,default,88068563,OXY_CH10,12.018,min,102.106,μmol/L,Humid,25.874,deg,172036,µV,34.904,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289399.66,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:46,10,default,88068563,OXY_CH10,12.035,min,101.949,μmol/L,Humid,25.893,deg,172192,µV,34.904,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289419.02,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:47,10,default,88068563,OXY_CH10,12.051,min,101.815,μmol/L,Humid,25.912,deg,172326,µV,34.898,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289415.14,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:48,10,default,88068563,OXY_CH10,12.068,min,101.63,μmol/L,Humid,25.929,deg,172461,µV,34.91,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289423.58,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:49,10,default,88068563,OXY_CH10,12.084,min,101.518,μmol/L,Humid,25.948,deg,172580,µV,34.898,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289409.22,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:50,10,default,88068563,OXY_CH10,12.102,min,101.395,μmol/L,Humid,25.963,deg,172701,µV,34.898,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289415.21,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:51,10,default,88068563,OXY_CH10,12.118,min,101.297,μmol/L,Humid,25.975,deg,172798,µV,34.898,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289424.19,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:52,10,default,88068563,OXY_CH10,12.135,min,101.158,μmol/L,Humid,25.992,deg,172902,µV,34.898,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289410.14,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
